area type,A,B,C,D,
Ground Floor & Intermediate ceiling,36.89,37.36,35.22,42.24,
Ground Floor & External ceiling,44.03,43.35,39.98,47.35,
Ground Floor & Separation ceiling,40.52,41.15,38.34,46.63,
External Floor & Intermediate ceiling,58.86,59.36,55.04,74.31,
External Floor & External ceiling,64.05,63.30,58.78,76.84,
External Floor & Separation ceiling,61.29,62.28,57.12,78.02,
Separation Floor & Intermediate ceiling,55.67,56.18,52.44,70.33,
Separation Floor & External ceiling,61.05,60.33,56.09,73.14,
Separation Floor & Separation ceiling,58.34,59.33,54.58,74.39,
Intermediate Floor & Intermediate ceiling,58.30,58.35,54.86,72.15,
Intermediate Floor & External ceiling,62.78,61.79,57.77,75.10,
Intermediate Floor & Separation ceiling,60.83,61.62,56.43,76.88,
